"name","status","address_street","address_street2","address_city","address_state","address_zip","description","population_size","projects","web","issues","org_types"
"CHISPA - Community Housing Improvement Systems & Planning Association",1,"295 Main St.","","Salinas","CA",93901,"<p>(CHISPA: Community Housing Improvement Systems and Planning Assoc.) Develop, own and manage low-income housing.</p>","","<p>Block by block revitalization efforts over many years focused on neighborhood in Salinas, Pajaro, Castroville, Watsonville,ect.   Focus also on middle income neighborhoods to assess &amp; change attitudes about race,politics, neighborhood issues, ect.</p>","","Housing & Homelessness","Non-Profit"
"Salinas Adult School-Citizenship Program",0,"20 Sherwood Place","","Salinas","CA",93906,"One Stop Citizenship Center ESL/Citizenship classes are free and include the U.S. History and Government necessary to pass the CASAS Citizenship test and English for the Oral interview.  Education for adults.  This department is responsible for English as a second language and citizenship.    ",5000,"","","Environment","Elementary School"
"City of Monterey",1,"399 Madison St.","","Monterey","CA",93940,"City Government    ",34449,"Graphic design and program marketing *Recreation Trail Survey *Recreational Needs Assessment","","Community/Economic Development|Public Safety|Social Services|Violence Prevention","Government"
"City of Salinas Recreational Park / Firehouse  Recreation",0,"1330 E Alisal Street","","Salinas","CA",93901,"This facility administers the Centers and Playground programs. There are afterschool programs, senior citizen, pre-school, youth and teen recreation activities.    ","","","","","Government"
"Coast Weekly",0,"668 Williams Avenue","","Seaside","CA",93955,"General circulation newspaper serving Monterey County    ",40000,"","","","For-Profit"
"Educational Talent Search, CSUMB (TRIO) ETS",0,"100 Campus Center, Building 80","","Seaside","CA",93955,"Educational Talent Search is a federally funded TRIO program designed to assist middle and high students to prepare for and go on to college. Students who are the first in their family to go to college or from families with limited income are eligible for the program.  Program offers tutoring, outreach activities, college visits, mentor speakers and academic enrichment.    ","","","","Education","Government"
"El Andar",0,"765 Cedar Street","","Santa Cruz","CA",95060,"1)To publish the only Bilingual Magazine in the Central Coast 2)To assist in the process of full social, economic, and political participation.    ",150000,"El Andar is an excellent medium to learn about the community, institutions and events in the Central Coast.","","Arts","Non-Profit"
"Elkhorn Slough National Estuarine Research Reserve",0,"1700 Elkhorn Road","","Watsonville","CA",95076,"    ","","","","Education|Environment",""
"Monterey Cnty Dept of Soc & Empl Serv - GAIN Program/Adult Services ",1,"1000 S. Main Street Ste. 112","","Salinas","CA",93901,"GAIN is an employment and training program designed to help AFDC participants achieve self-sufficiency. Recent changes in the program have made it strongly employment focused and volunteers would be working with the Job Club staff.    ",1800,"Volunteers would primarily be used as Job Club Assistants. Duties would include helping the Job Club leaders, typing resumes, contacting empoyers, and working with Job Club participants. Volunteers might also be used to develop special projects such as a client recognition. Other duties might be added depending on the interests and skill sof the volunteers.","","Education","Government"
"Gavilan View Middle School",1,"18250 Van Buren Avenue","","Salinas","CA",93906,"Public Middle School-Grades 6-7-8. Gavilan View is part of the Santa Rita Union School District located along the northern edge of Salinas.
The school serves an ethnically and socioeconomically diverse student population that has doubled in size in the last ten years. Our curriculum includes mandatory foreign language instruction in either French, Spanish, or Japanese for 7th and 8th graders and a semester course in Languages and Cultures for 6th graders.",1050,"Multi media exploration
Database 
Desktop publishing 
Geography games","","Before/After School|Education|Literacy","Middle School"
"Salsipuedes Elementary School - PVUSD",0,"115 Casserly Road ","","Watsonville","CA",95076,"Promote physical and mental health in the school for students and their families.  PS99    ",250,"There are two areas- working with the students at achool in the classrooms or on the playground and working with the parents connecting them with the school and with community services. Very exciting possibilities. CAB S99","","Education|Health & Human Services","Elementary School"
"Interim Inc.",1,"550 El Estero, Suite 102","","Monterey","CA",93940,"Residential treatment, affordable housing, and social rehab services for adults with psychiatric disabilities.    ","","Student Scholarship Fund-establish fund raising ongoing Mentor Program Peer Counselors for transition to CSU Tutor in Center for math & science","","Health & Human Services","Non-Profit|Faith-Based"
"Mnty Cnty Health Dept. - WIC Nutrition Network",1,"632 East Alisal Street","","Salinas","CA",93905,"<p>The Women Infant &amp; Children(WIC) program is a USDA funded program for low income families administered locally by the MCHD.</p>
<p>WIC provides nutrition education to pregnant and breastfeeding mothers and parents of infants and children to age 5.</p>",19000,"<p>1) Literacy program for WIC families 2) Nutrition education activities for kids 3) Creation of a WIC outreach display for health fairs. 4) Farmers Market Project 5) A day in Salinas City schools 6) Breast feeding project.  
Assist with nutrition education groups/nutrition counseling.</p>","","Youth Development|Women's Issues|Social Services|Health & Human Services|Education","Non-Profit|Government"
"Monterey County Probation Department",1,"1422 Natividad Road","","Salinas","CA",93906,"To supervise both adult and juvenile offenders who are on probation and to reduce the occurrence of crime and promote positive community participation.  Prevention activities, preparation of reports, recommendations to the court, and assistance to victims, etc. all are provided. Enforce orders of the court, supervise felons, protect the community and rehabilitate the offender.       ","","","","Advocacy|Law & Legal Services|Social Services|Substance Abuse|Violence Prevention","Government"
"Monterey Public Library",0,"625 Pacific Street","","Monterey","CA",93940,"To meet the educational, informational, cultural, and recreational library needs of the community.  To ensure a dynamic and effective library by providing and promoting resources to meet the informational, educational, cultural and recreational needs of the community    ",26000,"School sites include foothill, La Mesa, Del Monte, Bayview, Monte Vista, Larkin.","","Education|Literacy","Government|Non-Profit"
"Monterey Adult School",0,"222 Casa Verde Way","1295 La Salle, Seaside CA","Monterey","CA",93940,"<p>To educate adults 18 years and over in the district boundaries of MPUSD.   To provide education to those who wish to upgrade their basic skills, English skills, and or obtain a high school diploma or GED.  Courses are also offered for Parent Education, Citizenship, Vocational Ed., older adults, handicapped, and health and safety.</p>",6000,"","","Women's Issues|Violence Prevention|Nutrition/Fitness|Literacy|Labor|Immigration |Education|Before/After School","High School"
"Shelter Outreach Plus - M.O.S.T.",1,"3050 Lexington Court","","Marina","CA",93933,"Mobile Outreach Services Team (M.O.S.T.)
is a team of skilled workers who reach out and work with the county's street homeless in an effort to help them gain access to services and/or begin the process of moving off the street. 
The M.O.S.T. team travels the county in a specially equipped van to contact the community's hard-to-serve homeless at their locations.
The team provides access to our other shelter programs and helps with food, identification, clothing, transportation, and in obtaining necessary medical assistance.
On-site case management is also provided on the mobile route to clients needing assistance connecting with other agencies and resources. 
","800-1000","Case management supervision.","","Substance Abuse|Social Services|Housing & Homelessness|Health & Human Services|Advocacy","Non-Profit"
"Return of the Natives Restoration Education Project",1,"CSUMB 100 Campus Center, Bldg 42","","Seaside","CA","93955-8001","The RON program address a major need for improvements in science education by providing hands-on science activities related to the propagation of native plants. RON provides opportunties for students, teachers and community volunteers to take part in actual habitat and restoration education projects throughout Monterey Bay Watersheds.    ",4000,"research-educational and science.","","Education|Environment|Violence Prevention|Youth Development","Non-Profit|College/University"
"Robert Down Elementary School",0,"485 Pine Avenue","","Pacific Grove","CA",93950,"Elementary school K-5 students.    ",375,"After school study/homework/reading lab","","Advocacy|Arts|Before/After School|Day Care|Education|Health & Human Services|Nutrition/Fitness|Substance Abuse|Youth Development","Elementary School"
"Robert Louis Stevenson Lower/Middle School",0,"P.O. Box AP","","Carmel","CA",93921,"Private school K-8    ",210,"","","Education","Elementary School"
"Salvation Army of Salinas ",1,"2460 N. Main Street","","Salinas","CA",93905,"The Salvation Army, an international movement, is an evangelical part of the Universal Christian Church.  It's message is based on the Bible.  Its ministry is motivated by the love of God.  
The Salinas Corps Community Center has easy access for youth and teens to participated in after-school programs offered. Junior Teen Group, ages 13-17 or grades 6-8, meets every other Friday evening from 6:30pm - 9:30pm for social, recreational and spiritual activities. Pizza, bowling and games are just a few of the group's activities. 
Arts & Crafts and computer training classes are available for both Youth and Senior Adults at The Salinas Corps Community Center.
Senior Adults are provided a lunchtime meal on Monday, Wednesday and a hot meal on Friday and a lounge for socialization. Activities like bingo, arts & crafts, line dancing and sing-alongs are also offered.

The Corps is also prepared to provide emergency/disaster relief to residents in the Salinas area.

",33600,"Organize and create a music program, a curricular or structured program to help them learn to use musical instruments.
Developing a dance or gospel program that is institutionalized.
","","Arts|Before/After School|Education|Health & Human Services|Housing & Homelessness|Nutrition/Fitness|Social Services|Substance Abuse|Technology|Violence Prevention|Women's Issues|Youth Development","Faith-Based"
"Santa Cruz County Immigration Project",1,"406 Main St. Suite 217","","Watsonville","CA",95076,"To provide immigration information, application assistance, advocacy, education, and other services to low-income immigrants and those who serve them.    ",2000,"Citizenship development for the Central Coast¿s non-English speaking population.","","Health & Human Services","Non-Profit"
"Santa Cruz County Office of Education",1,"809-H Bay Avenue","","Capitola","CA",95010,"Special Education Program",36000,"","","Education|Health & Human Services|Social Services|Youth Development","Government|High School"
"Second Harvest Food Bank Serving Santa Cruz/ San Benito",0,"800 Oholne Parkway (no mail)","","Watsonville","CA",95076,"<p>Education and intervention in ending hunger/malnutrition. 47,000 low-income clients served monthly through numerous agencies/programs. Public policy work includes legislative and advocacy work at the local, state and federal levels. Also, community-wide collaboration to address the obesity health crisis.</p>",409800,"","","Nutrition/Fitness|Housing & Homelessness|Health & Human Services|Advocacy","Non-Profit"
"Sherwood Elementary School",1,"110 S. Wood Street","","Salinas","CA",93905,"Elementary Education     ","","","","Education","Elementary School"
"Society for the Prevention of Cruelty to Animals (SPCA)",0,"P.O. Box 3058","","Monterey","CA",93940,"To promote and educate on animal welfare issues - wildlife rehabilitation , spay / neuter clinic , Animal adoption / placement     ","","","","Animal Welfare|Education",""
"Suicide Prevention Services of the Central Coast",0,"P.O. Box 1222","","Santa Cruz","CA",95061,"To provide crisis & suicide prevention & intervention, community education and outreach, grief support and referrals to persons at risk of suicide and suicidal behavior in Santa Cruz, Monterey, and San Benito Counties.    ",6000,"Suicide Prevention is looking for educational Outreach presenters to do one-hour presentations on suicide preve ntion for youth in middle and high schools.","","Health & Human Services|Social Services|Violence Prevention","Non-Profit"
"Trucha Inc.",0,"725 E. Market Street","","Salinas","CA",93901,"TRUCHA is a non-profit, non residential alcohol and drug program which provides culturally sensitive services to Hispanics living in the East Salinas area. Although the emphasis is on Hispanics, the program is non-discriminatory and is staffed by well-trained paraprofessional Counselors who welcome all interested persons who seek help or information on alcohol or drug related problems. However, they provide other community services as well. The individual  and family services include:    ","","Improve services offered and reach more into teh community.","","Health & Human Services","Non-Profit"
"University Park Elementary",1,"833 W. Acacia","","Salinas","CA",93901,"Elementary education of children (ages 5-12) in basic and intermediate skills of literacy, social interaction, mathematics, and technology     ",600,"Open for discussion.","","Arts|Before/After School|Community/Economic Development|Day Care|Education|Health & Human Services|Literacy|Nutrition/Fitness|Technology|Violence Prevention|Youth Development","Elementary School"
"Upward Bound- Trio Programs",1,"980 Fremont Street","","Monterey","CA",93940 ,"<p>TRIO educational programs are designed to provide academic support to increase the number of low-income, first generation students who successfully complete high school and go on to complete college.  The programs offer study skills development courses for college students, and an after school tutorial program for high school students.</p>",320,"<p>Program projects to be developed would include Alumni newsletter to improve retention of program graduates An Alumni Program to match graduates as mentors with students- Tutorial units in math, science, English, and Foreign Language, Study Skills Workshops, Mentor Workshops, Parent Support Workshops.</p>","","Education","College/University"
"Prunedale Elementary School",1,"17719 Pesante Road","","Salinas","CA",93907,"K to 6.  Preschool/Extended day Program available.  ",640,"","","Arts|Before/After School|Education|Literacy|Technology","Elementary School"
"Virginia Rocca Barton Elementary School",1,"680 Las Casitas Drive","","Salinas","CA",93905,"Virginia Rocca Barton Elementary School (VRB) serves 615 students in grades PreK-6th. Our school is composed of 99.9% Hispanic students and 80% English Learners. 

Virginia Rocca Barton Elementary School (VRB) is located in the urban fringe of a large city. It houses a district preschool class, in which many of VRBâ€™s incoming kindergarten students are enrolled.  Additionally, VRB houses an IPP preschool class, which serves students with severe speech impediments.

Virginia Rocca Barton Schoolâ€™s mission is to provide students with a quality education, provide a safe environment to learn and thrive in, and to motivate our students to break away from the cycles of subjugation. At the district level our mission includes respect for the culture of our community, a commitment to providing a nurturing environment, promoting academic excellence and bilingualism, and preparing students to successfully enter a global society.",500,"","","Education","Elementary School"
"Salinas Adult School",1,"20 Sherwood Place","","Salinas","CA",93906,"Identifying and serving the adult learners of the community in basic skills and literacy development, second language acquisition, job training, parent and family education, serving adults with special needs and other classes.  Our focus is on serving the underserved, especially immigrant and low-income communities.",20000,"classroom management projects,  grading and tracking of student progress- tutoring adult students in reading, writing, and/or math and in High School diploma subjects CP992","","Youth Development|Women's Issues|Violence Prevention|Technology|Substance Abuse|Nutrition/Fitness|Literacy|Immigration |Environment|Education|Day Care|Community/Economic Development","Elementary School"
"La Joya Elementary School - HOSTS",0,"55 Rogge Road ","","Salinas","CA",93906,"To serve remedial reading students by pairing them with adult and cross-age mentor-tutors.    ","","Mentor and recruitment ","","Education","Elementary School"
"Greenfield Union School District",1,"490 El Camino Real ","","Greenfield","CA",93927,"PK-8 School District    ",2350,"Fully implement Healthy Start and Even Start Projects, Including Family Literacy, After school Recreation and Tutoring, and School services","","Education|Youth Development","Elementary School"
"Echo Valley Elementary School",1,"147 Echo Valley  Road","","Salinas","CA",93907,"K to 6.  Provide a quality educational program in which all children can be successful learners.  
Preschool/Extended Day Program available.  ",650,"We would like to develop a structured program of activities during our lunch time for third through fifth grades.  Organized games and sports lead by adults (18 and over).","","Education|Environment|Literacy","Elementary School"
"University of California Cooperative Extension UCCE",1,"1432 Abbott St.","","Salinas","CA",93901,"UCCE conducts research and provides education at the county level- in agriculture, the environment, community nutrition and youth development.   As regards agriculture, specifically plant pathology, UCCE  uses careful field assessments and thorough lab analyses to assist growers in reducing pesticide use and crop loss.As regards nutrition: The Family Nutrition Education Program provides free curriculum to schools, trains volunteers to provide nutrition education to community members, and participates in projects that improve health literacy and help youth develop good nutrition and fitness habits. Funded by the Food Stamp Program which also helps participants to purchase nutritious foods for better diet, Family Nutrition Education offers menus, recipes, nutrition classes, newsletters, fotonovelas, hand-outs, and access to a library of videos, books and display items with a nutrition theme. As regards youth development: UCCE's program develops programs for youth in science, technology, environmental stewardship and natural resource education in Santa Cruz and Monterey Counties and serves as an educational resource by developing and disseminating science, technology, environmental stewardship and natural resource education information relevant and useful to youth, associated organizations, and agencies.","","Innovations in student-generated learning materials to improve nutrition literacy of local residents are possible.","","Agriculture|Education|Environment|Health & Human Services|Youth Development","College/University"
"Girl Scouts of Monterey Bay",0,"10550 Merritt Street","","Castroville","CA","95012-3311","<p>Girl Scouts of Monterey Bay is committed to helping today's girls become tomorrow's leaders. The Girl Scout program is girl-driven, reflecting the ever-changing needs and interests of participating girls.
Our membership is as diverse as the area we serve: more than 5,400 girls and over 2,500 adult volunteers from Monterey, Santa Cruz and San Benito counties. As part of the Girl Scouts of the USA and Girl Scouts of Monterey Bay commitment to diversity, Girl Scouting offers opportunities for girls to learn more about other cultures and communities, to build skills in understanding and to broaden their outlook.</p>",2000,"<p>1)  Expand and maintain program for youth at risk in low income housing  and migrant camps- 2)Develop specific marketing and recruitment tools and activities- 3) Assist volunteer in the program delivery to troops and groups with expand resources and activities.
With guidance from the council staff, plan, organize and run a Girl Scout program for girls ages 5-17.</p>","","Youth Development|Women's Issues|Education|Before/After School","Non-Profit"
"Alisal Community Healthy Start  Family Resource Center",1,"1441 Del Monte Avenue","","Salinas","CA",93905,"<p>To provide information and referral regarding health, social services, employment, education, transportation, etc. to East Salinas families.  To coordinate a myriad of programs and services at our family center in East Salinas. To empower East Salinas Community members.  PS99</p>",500,"<p>1. Assist in adult literacy program( in Spanish) 2. Assist in development and inplemention of recreational /educational programs for elementary aged children and their families.  4. Developing fund raising plan.  5.Computer training (Mac)</p>","","Education","Non-Profit"
"UNITE HERE - Local 483",1,"702-C Forest Avenue ","","Pacific Grove","CA",93950,"Labor union which represents 1,800 service workers in Monterey and Santa Cruz counties hospitality industry.  Union provides the training and support for workers to collectively exercise their rights on the job and improve their working conditions, wages and benefits, which in turn benefits the entire community by empowering workers and improving the quality of local jobs.    ",1800,"Complete a study to lay foundation for a living wage campagin or rent control campaign for local hospitality workers.
Conduct a study of local hotel workers in Monterey area; analysis of power structure in the local hospitality industry.","","Advocacy|Community/Economic Development|Labor|Law & Legal Services","Non-Profit"
"South Street Center ",0,"12685 Highway 9","","Boulder Creek","CA",95006,"Provides resources and activities for k-12 homeschooling families: community-based education supported through activities and counseling.  Meeting place for community activists and environmental educators.
Title 1 school within the San Lorenzo Valley Unified School district Charter School.  Also has classrooms in Ben Lomond ",160," 1. Fundraising (participationin the Human Race, the volunteer center-sponsered walkthon  2. Teaching assistance by students particularly interested in homeschooling 3. Other projects developed based on particular student¿s interests and talents.  ","","Education","Elementary School"
"Personal Growth and Counseling Center",0,"100 Campus Center-Health Center, Bldg 80","","Seaside","CA",93955,"To promote the mental health of CSUMB students in order to improve the quality of their lives.  Population served includes CSUMB students, staff, and faculty.    ",300400,"CP992","","Health & Human Services",""
"Healthy Start -PVUSD",1,"294 Green Valley Rd","","Watsonville","CA","95076-1359","PROVIDING COMPREHESIVE ONE STOPSERVICES CENTERS ON THE SCHOOL CAMPUSES. 4 ELEMENTARY SCHOOLS. 1 MIDDLE AND HIGH SCHOOL.    ",4000,"","","Education","Elementary School"
"Monterey County Office of Education (MCOE)",1,"901 Blanco Cirlce, P.O. Box 80851","","Salinas","CA","93912-0851","Assist migrant children and young adults toward high school graduation.  Includes instructional and health and social services support.  Target pop.=pre-kinder, k-12, out of school young adults up to age 21.    ",18000,"","","Education","Government"
"Kinship Center of Monterey",1,"124 River Road","","Salinas","CA",93908,"To place children 0-18 yrs in permanent homes following court removal from parent for abuse/neglect. Foster care and adoptive services. Recruitment of families for foster and adoptive homes. Training and counseling services.
Family Ties program provides services to assist and support relative caregivers of children in foster care.  Services provided include support groups, counseling childrenï¿½s groups, recreation, case management, legal assistance, parent education and advocacy.
",65,"ability to research effects of (1) sustained trauma/abuse on development (2) the development handicaps of kids who have no attachment (3)to measure the growth that comes with stability","","Health & Human Services","Non-Profit"
"Sun Street Centers",1,"11 Peach Drive","","Salinas","CA",93912,"<p>Drug and Alcohol Rehab Homeless Services</p>","","","","Substance Abuse|Housing & Homelessness|Health & Human Services","Non-Profit"
"Juvenile Hall &Youth Center",0,"970 Circle Dr. (office)","","Salinas","CA",93905,"Currenly there is a reading/tutoring program to help develop reading, writing, vocab skills.  Our goal is to establish a mentoring program sometimes toward end of year.      MCOE has partnered with probation departmentto provide parenting/family relationship training to students housed at the Monterey County Youth Center and Wellington smith Juvenile Hall.  MCOE has provided reading tutors to both facilities.  The reading/tutoring program is run on a six week session.  Students are selected by teachers based on good behavior.  Both students and faculty (volunteers) commit to the six week session.","","Future project:  CSUMB students as mentors to studentd from Juvenile Hall and Youth Center","","","Government"
"Clinica de Salud Del Valle de Salinas (CSVS)",0,"440 Airport Blvd.","","Salinas","CA",93905,"CSVC is a multi-site health care center, offering comprehensive primary care services and dental to farm worker families throughout Monterey County. Six health care centers are strategically located with access to rural and underserved communities.CSVS began as a street front clinic with volunteer health workers in 1980. In 1989, it became the only federally qualified health care center in Monterey County. There are now six health clinics: Castroville, Sanborn (Salinas), Greenfield, Circle (Salinas), Soledad, and King City.  In Monterey County¿s 3,324 square miles, fully 85% of  its population lives within fifteen minutes of a Clinica de Salud site.The total number of patient visits made yearly now reach 70,000!  20 state of the art clinicians, including physicians, pediatricians, physician assistants, nurse practitioners and dentists are available. They are especially proud of their comprehensive outreach programs which include:   Cal-ASET Comprehensive injury and prevention education for farmworkers and their employers in the tri-county area Provide Health Promoter¿s services to farmworkers Community Service Networking Coalition of 40 agencies (Score) led by the Clinica regularly present social services to the isolated areas of south county Interagency linkages and support throughout Monterey County Health Promoters¿ Service Outreach into homes, labor camps, fields, and schools Medical needs assessment/health and disease intervention            Health Education Transportation    ","","Audits are needed to see if standards are being met on medical charts.   Measuring Productivity:  Who are Clinica¿s patients?  What are their needs? Fund Development:  Students can assist in writing local community grants.","","Education|Health & Human Services","Non-Profit"
"Castroville Elementary School",1,"11161 Merritt Street","","Castroville","CA",95012,"K-5th Elementary school    ",546,"","","Before/After School|Education|Literacy|Nutrition/Fitness|Technology","Elementary School"
"American Field Service Int'l Exchange Students",0,"3233 Vista Del Camino","","Marina","CA",93933,"To find host families, to bring foreign exchange students to local high schools for one year, and to send our local students abroad for either the summer or for a semester or full year.    ",35,"","","Global","Elementary School"
"Head Start Program (MCOE)",1,"901 Blanco Circle ","","Salinas","CA","93912-0851","Head Start is a federally funded program that serves low income children and their families. Begun in 1965 to give low-income  three- and four-year-old children a ¿Head Start¿ on becoming successful individuals in a society, the program offers a comprehensive, multi-disciplinary approach to provide a wide range of services to enrolled children and their families. Services include health and nutrition screening, kindergarten readiness, social services referrals, and home management training. The program functions with an overall goal of bringing about a greater degree of ¿social competence¿ in children. Social competence is defined as a child¿s everyday effectiveness in dealing with both present environment and later responsibilities in school and life. Services are offered to met the special needs of children with disabilities.    ","","","","Education|Health & Human Services",""
"Harden Middle School- Title 1 Program",0,"1563 McKinnon Street","","Salinas","CA",93906,"Middle schools are part of the Salinas Union High School District. The Reciprical Reading Program is aimed at students reading 2 years below grade level in comprehension, in which tutors work with an assigned student 1 hour per week.    ",39,"","","Education","Middle School"
"Pajaro Rescue Mission",0,"111 Railroad Ave.","","Watsonville","CA",95076,"    ","","","","",""
"Mnty Cnty Health Dept- ACT Program ",1,"1292 Olympia Avenue","","Seaside","CA",93955,"THe ACT Program provides in-home case management services to pregnant and parenting adolescents under the age of 19 in Monterey County.  Case managers are social workers, public health nurses, and community service aides.  Program assists adolescents in setting and achieving goals, especially around areas of family health care, school, parenting, and family planning.  Siblings are also eliglble for services focused areound pregnancy prevention.    ",500,"A special event for the siblings of pregnant or parent teens to convince them not to become parents as well.","","Health & Human Services","Government"
"Association of Monterey Bay Area Governments (AMBAG)",0,"P.O. Box 809","","Marina","CA",93933,"AMBAG is a Joint Powers Agency (JPA) and a Metropolitan Planning Organization (MPO) for the Monterey Bay Area- Monterey, Santa Cruz, and San Benito Counties.  AMBAG conducts planning programs focusing on water quality and transportation.     ","","","","Advocacy|Agriculture|Environment|Health & Human Services|Public Safety","Government"
"Laurel Wood Elementary School ",1,"645 Larkin St. ","","Salinas","CA",93907,"K-6 School    ",538,"Additional computer literacy for students through usage of computer lab.
06-07: Develop a P.E. program with new equipment used wisely.","","Before/After School|Education|Literacy|Nutrition/Fitness","Elementary School"
"Moss Landing Middle School ",0,"1815 Salinas Rd","","Moss Landing","CA",95039,"Preparing students for the 21st century Teaching middle school students    ",580,"Describe specific projects you would like to develop using student voulnteer assistance.  We are looking for a Tech type to help us maintain and expand our computer network, as well as student assistance for our outdoor education programs.  We could also use student assistance in coordinating community service and service learning opportunitiesfor our students.  Tutoring students in math, writing and reading.","","Education|Environment","Elementary School"
"Monterey History and Art Association",1,"5 Custom House Plaza","","Monterey","CA",93940,"<p>Since 1931, the MHAA's primary mission has been to help preserve the irreplacable reminders of Monterey's colorful heritage.  The Association has preserved more historic adobes than any where else in California.  The Association instituted Monterey's historical landmark program and created the Path of History, which guides visitors to historic sites of Old Monterey.  It has an extensive collection of furnishings, costumes, books, manuscripts, and other artifacts.</p>
<p>The Monterey History and Art Association is the non-profit umbrella organization that operates the Museum of Monterey.</p>",25000,"","","Arts","Non-Profit"
"Del Monte Elementary School",0,"222 Casa Verde Way","","Monterey","CA",93940,"    ","","","","Education",""
"Kammann Elementary School",1,"521 Rochex Street","","Salinas","CA",93906,"Elementary school.","","","","Education|Youth Development","Elementary School"
"Monterey County District Attorney's Office",0,"PO BOX 1369 240 Church St, Suite 101","","Salinas","CA",93902,"The DA is the public prosecutor whose responsibility is to attend the courts and conduct all prosecutions on behalf of the People for public offenses.    ",27000,"Please see enclosed division expectations and objectives.","","","Government"
"San Juan Bautista Elementary School",0,"100 Nyland Drive","","San Juan Bautista","CA",95045,"    ","","","","",""
"Congressman Sam Farr's Office",0,"100 W. Alisal St","","Salinas","CA",93901,"The district offices of Congressman Farr hear constituent input, help with federal agency related casework, organize meetings for the Congressman etc.  Organize outreach and accessibility for the Congressman.    Federal Government resourse for the community.","","-Research on community based organization in specific issue areas -Assistance with copiling directories and newsletter -As appropiate, assistance with town hall meetings   -Research on federal legislation as it impacts 17th Congressional District.","","","Government"
"Vietnam Vets of Monterey County",0,"132 West Gavilan St","","Salinas","CA",93901,"    ","","","","",""
"Loma Vista Elementary School",1,"757 Sausal Drive","","Salinas","CA",93906,"K-6 and pre-school.   ",570,"","","Before/After School|Education|Health & Human Services|Literacy|Technology|Violence Prevention","Elementary School"
